DESCRIPTION,Candida_tanzawaensis,Debaryomyces_hansenii,Hyphopichia_burtonii,Komagataella_pastoris,Eremothecium_gossypii,Kluyveromyces_lactis,Torulaspora_delbrueckii,Zygosaccharomyces_rouxii,Arxula_adeninivorans,Yarrowia_lipolytica
fam286,2,2,2,1,1,2,3,5,3,3
fam287,1,3,2,3,1,1,1,1,3,2
fam288,2,3,3,1,2,2,2,2,2,0
fam290,2,2,2,2,1,1,1,1,2,2
fam291,2,2,2,1,2,2,2,2,1,1
fam292,2,2,2,2,2,2,2,2,2,2
fam293,1,1,1,2,2,2,2,2,2,2
fam294,2,1,2,0,0,0,0,0,0,1
fam296,1,1,1,1,2,2,2,2,1,1
fam297,2,2,2,1,2,2,2,2,1,1
fam298,2,2,2,2,1,2,2,2,1,1
fam299,2,3,2,1,1,1,1,1,1,6
fam301,2,2,3,2,1,1,1,1,2,1
fam302,2,2,2,2,2,2,2,2,1,1
fam303,1,1,1,1,2,2,2,2,2,2
fam304,2,2,2,2,2,2,2,2,1,2
fam305,2,2,1,2,2,2,2,2,1,1
fam306,1,4,2,1,1,1,2,2,1,3
fam307,2,2,2,2,2,2,2,2,1,1
fam308,2,1,2,1,2,2,2,1,1,1
fam309,2,3,3,1,1,1,2,1,3,2
fam310,2,2,2,2,1,1,1,1,2,2
fam311,2,2,2,1,1,1,1,1,2,2
fam312,2,2,2,2,1,1,1,1,1,1
fam313,3,3,3,1,1,1,1,1,1,2
fam314,2,2,2,2,1,1,1,1,1,1
fam315,1,2,2,2,0,1,2,1,2,3
fam316,2,1,1,1,2,1,2,2,2,2
fam317,2,2,2,2,2,2,2,2,1,1
fam318,1,2,3,1,1,1,1,1,1,1
fam319,2,2,2,1,2,2,1,2,1,1
fam320,2,2,1,1,1,2,2,2,1,1
fam321,2,3,2,0,1,2,2,2,2,1
fam322,1,2,1,2,1,1,1,1,3,3
fam323,2,1,2,2,2,2,2,2,2,2
fam324,2,2,2,1,1,1,1,1,1,1
fam325,2,2,2,1,1,1,1,1,1,1
fam326,1,1,2,0,1,1,1,1,3,2
fam327,2,2,1,1,0,3,0,0,1,1
fam328,2,2,2,2,1,1,2,3,1,0
fam329,2,2,2,1,1,1,0,1,1,3
fam330,2,2,2,2,1,1,1,1,1,1
fam331,1,1,1,2,1,1,1,1,1,2
fam332,1,1,1,2,1,2,2,2,2,1
fam333,1,2,1,2,1,2,2,2,2,2
fam334,4,5,4,1,1,1,1,2,0,1
fam335,1,2,2,1,1,2,1,1,3,1
fam336,1,2,1,1,1,1,1,1,5,1
fam337,1,1,1,1,0,7,0,1,1,1
fam338,2,2,2,2,1,1,1,1,1,1
fam339,1,2,2,2,1,1,1,1,2,2
fam340,2,1,2,2,2,2,1,1,1,1
fam341,1,1,1,2,1,2,1,1,1,1
fam342,2,1,2,1,1,2,1,1,2,4
fam343,2,2,2,1,1,2,2,2,1,1
fam344,1,2,2,2,2,2,1,1,1,1
fam345,2,2,2,1,1,1,1,1,1,1
fam346,2,2,2,2,1,1,1,1,2,1
fam347,2,2,2,2,1,1,1,1,1,1
fam348,2,2,2,1,1,1,1,1,1,1
fam349,1,1,1,1,1,1,1,1,2,1
fam350,1,1,1,1,1,1,1,1,1,1
fam351,2,2,2,2,1,1,1,1,1,1
fam352,2,2,2,2,1,1,1,1,1,1
fam353,2,2,2,1,1,1,1,1,1,1
fam354,2,2,2,2,1,1,1,1,1,1
fam355,1,1,1,2,1,1,1,1,2,1
fam356,2,2,4,1,0,0,0,0,3,2
fam357,2,1,1,0,1,1,1,1,2,2
fam358,2,2,2,2,1,1,1,1,1,1
fam359,2,2,2,0,1,1,1,2,2,1
fam360,1,1,1,1,2,2,2,2,1,2
fam361,2,2,2,2,1,1,1,1,1,1
fam362,1,1,2,2,1,1,1,1,1,2
fam363,2,1,2,1,1,1,1,1,2,2
fam364,2,2,2,2,1,1,1,1,1,1
fam365,2,2,2,2,1,1,1,1,1,1
